state,id,(,),{,},void,int,float,char,boolean,string,comma,;,:=,[,],if,else,while,return,charlit,strlit,&&,||,!,<,<=,=,!=,>=,>,true,false,+,-,/,*,%,intlit,floatlit,$,s',program,func-defs,func-def,ret-type,type,param-list,params,stmt-list,stmts,stmt,decl,vdecl,v-id-list,adecl,a-id-list,expr-list,assg,ifel,loop,rets,expr,bool-expr,bool-term,bool-primary,arth-expr,arth-term,arth-primary,func-call,arr-sub
86, , ,s116, , , , , , , , , , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87, , ,s117, , , , , , , , , , , , , , , , , , , , , , ,s70,s71,s72,s73,s74,s75, , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, , , , , , , , , , , , ,r40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
89, , , , , , , , , , , , , , , ,s118, , , , , , , , , , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,119,43,46,50,51
91, , ,s120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92, , ,r82, , , , , , , , ,r82,r82, , ,r82, , , , , , ,r82,r82, ,r82,r82,r82,r82,r82,r82, , ,r82,r82,r82,r82,r82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93, , ,s121, , , , , , , , , , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94, , ,s122, , , , , , , , , , , , , , , , , , , , , , ,s70,s71,s72,s73,s74,s75, , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95, , ,s123, , , , , , , , , , , , , , , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
